#height_over_sea_level	fall	net_fall	flow	power_of_hydroelectrical_turbine
624.0	0.8211567732115679	0.8487559749969358	0.08333333333333326	0.14995676854253598
628.0	0.9226281075596146	0.9468072067655351	0.08333333333333326	0.16265589728993357
602.0	0.280314561136479	0.27638190954773867	0.5833333333333333	0.37120158390035457
599.0	0.20421106037544412	0.2028434857212893	0.5833333333333333	0.33036531029087696
630.0	0.9614408929477425	0.9412918249785514	0.8333333333333333	0.8948249349738016
620.0	0.7128361237950283	0.723740654491972	0.5	0.511643851555885
601.0	0.256215119228818	0.2579973035911265	0.5	0.30918100107228336
622.0	0.7970573313039067	0.8038975364628018	0.0	0.06334706357261899
599.0	0.20801623541349556	0.2212280916779017	0.33333333333333326	0.18396730520334897
611.0	0.4845256215119229	0.5031253830126241	0.5	0.4246618011138141
591.0	0.003805175038051667	0.019119990194876868	0.41666666666666663	0.14876454698265906
591.0	0.005073566717402445	0.025125628140703293	0.33333333333333326	0.10688642210013583
598.0	0.18138001014713345	0.1907096457899251	0.41666666666666663	0.22479641832297742
618.0	0.6659056316590566	0.6918740041671771	0.25	0.2724047252072514
609.0	0.4337899543378996	0.45409976712832467	0.5	0.40447279998424696
608.0	0.4058853373921869	0.4167177350165461	0.6666666666666665	0.5053712624480642
609.0	0.46727549467275487	0.4852310332148546	0.0	0.013968325573152474
614.0	0.5644342973110099	0.5938227723985781	0.25	0.24615078917548744
628.0	0.9132420091324205	0.9069738938595413	0.6666666666666665	0.7357457023634986
608.0	0.4096905124302386	0.43583772521142294	0.41666666666666663	0.3326190744708845
625.0	0.8346017250126838	0.8187277852678023	0.8333333333333333	0.8312200937666145
603.0	0.31227803145611355	0.3287167545042282	0.16666666666666663	0.10479913930912016
611.0	0.4832572298325726	0.4969971810270868	0.5833333333333333	0.4854131871161305
620.0	0.7077625570776256	0.6961637455570537	0.8333333333333333	0.7654187722982129
628.0	0.9145104008117708	0.9137149160436326	0.5833333333333333	0.6615934596085717
617.0	0.6435819381024861	0.6771663194018873	0.08333333333333326	0.11952110643889147
597.0	0.158548959918823	0.17710503738203198	0.25	0.11469851652551549
626.0	0.865043125317098	0.8708175021448707	0.5	0.56632672241108
595.0	0.10273972602739745	0.1047922539526902	0.5833333333333333	0.27826021578136156
627.0	0.8957382039573822	0.917024145115823	0.16666666666666663	0.24323646980689945
598.0	0.17757483510908179	0.17158965559504824	0.6666666666666665	0.3560607281144103
625.0	0.8731608320649418	0.877435960289251	0.0	0.07053977562605057
622.0	0.7597666159309995	0.7525432038239979	0.75	0.733960950268608
630.0	0.9652460679857944	0.9627405319279325	0.5833333333333333	0.6795465977827542
612.0	0.5060882800608828	0.5074151244025003	0.75	0.6062894162589663
615.0	0.5821917808219177	0.5809535482289496	0.75	0.6464543939450897
608.0	0.4419076610857433	0.4607182252727049	0.0	0.009648760071676477
623.0	0.785134449518011	0.7770560117661476	0.75	0.7462232891352099
599.0	0.20547945205479468	0.20897168770682661	0.5	0.284387804969738
596.0	0.12683916793505845	0.1225640397107488	0.6666666666666665	0.32870407664588325
611.0	0.4913749365804161	0.5300894717489888	0.08333333333333326	0.08980507356508255
624.0	0.8196347031963471	0.8434857212893734	0.16666666666666663	0.22938271207133282
591.0	0.0	0.0	0.6666666666666665	0.2221004938947873
625.0	0.8358701166920346	0.8260816276504475	0.75	0.7698511155148124
612.0	0.5073566717402336	0.5147689667851452	0.6666666666666665	0.5538137663997593
593.0	0.050735667174023336	0.049025615884299434	0.6666666666666665	0.28070373294237055
602.0	0.28158295281582957	0.2825101115332762	0.5	0.32217191978103216
601.0	0.2615423642820902	0.2796911386199288	0.16666666666666663	0.09079859153164666
593.0	0.05200405885337411	0.05576663806839055	0.5833333333333333	0.2509160951700706
613.0	0.5377980720446474	0.5644074028679986	0.33333333333333326	0.31058803732763357
594.0	0.08244545915778789	0.10356661355558283	0.25	0.09204988713277873
602.0	0.28843226788432275	0.3094742002696409	0.08333333333333326	0.03953843482432634
613.0	0.5421106037544394	0.5791150876332882	0.08333333333333326	0.09978142604735585
606.0	0.35261288685946224	0.3529844343669568	0.8333333333333333	0.5450027836404288
628.0	0.9211060375443938	0.9415369530579727	0.16666666666666663	0.24732510951074155
628.0	0.9183155758498223	0.9320995220002453	0.33333333333333326	0.41673513885084873
613.0	0.5276509386098429	0.5074151244025003	1.0	0.7292010146414116
601.0	0.25114155251141557	0.230420394656208	0.8333333333333333	0.46739381441084377
607.0	0.38559107052257735	0.4173305552150999	0.33333333333333326	0.2602462134434616
596.0	0.13318112633181123	0.15259222943988227	0.25	0.10580697825538238
599.0	0.21080669710806688	0.23066552273562912	0.16666666666666663	0.07587076031871337
592.0	0.026636225266362334	0.031253830126240834	0.5833333333333333	0.23627468355110165
609.0	0.42617960426179624	0.40936389263390116	1.0	0.6454859376929973
606.0	0.3630136986301369	0.4022551783306776	0.16666666666666663	0.12528172052250097
608.0	0.40461694571283613	0.40936389263390116	0.75	0.5450940798860049
591.0	0.0025367833587013333	0.012869224169628435	0.5	0.1873560070244405
605.0	0.35261288685946224	0.3284716264248071	0.8333333333333333	0.5306298903908016
591.0	0.007864028411973756	0.034563059198430945	0.16666666666666663	0.016426163713859687
610.0	0.4604261796042619	0.4848633410957224	0.41666666666666663	0.35169461942891517
619.0	0.7209538305428715	0.7303591126363522	0.0	0.05402589591153928
612.0	0.5124302384576356	0.5398945949258489	0.33333333333333326	0.3025289060024596
627.0	0.8891425672247593	0.8892021081014829	0.5833333333333333	0.6519017365978006
611.0	0.48985286656519533	0.5248192180414264	0.16666666666666663	0.15727836941325152
617.0	0.6420598680872653	0.6718960656943249	0.16666666666666663	0.1922967450203268
619.0	0.6943176052765092	0.7261919352861868	0.08333333333333326	0.12882795312027295
625.0	0.8320649416539831	0.8015688197082977	1.0	0.9203681923880411
622.0	0.7704211060375443	0.7997303591126363	0.08333333333333326	0.14239887150679975
603.0	0.30695078640284135	0.3070229194754259	0.5	0.3347994436299387
623.0	0.7813292744799596	0.7525432038239979	1.0	0.8892719750958162
622.0	0.7648401826484017	0.7790170364015196	0.41666666666666663	0.45450135243752027
600.0	0.23617453069507865	0.25517833067777906	0.16666666666666663	0.08350026225294072
627.0	0.8904109589041096	0.8953303100870205	0.5	0.5739526441003828
610.0	0.46448503297818355	0.5003064100992767	0.16666666666666663	0.15111855802055418
605.0	0.36022323693556557	0.36830493933080044	0.33333333333333326	0.2416611620400952
620.0	0.7090309487569759	0.7035175879396984	0.75	0.7091319517168171
629.0	0.9398782343987824	0.9382277239857828	0.5833333333333333	0.6705333311851862
611.0	0.48579401319127347	0.5093761490378723	0.41666666666666663	0.360527083657793
622.0	0.7635717909690514	0.7727662703762714	0.5	0.5306209397784902
625.0	0.8396752917300865	0.846304694202721	0.5	0.5575121594068249
597.0	0.15220700152207	0.14707684765289852	0.6666666666666665	0.3424074640946187
600.0	0.2257737189244038	0.20590758671405807	0.8333333333333333	0.4508620334717099
599.0	0.21232876712328763	0.23593577644319152	0.08333333333333326	0.02065443296975944
615.0	0.5783866057838662	0.5564407402867999	1.0	0.7607340218144323
596.0	0.13064434297311012	0.14168402990562567	0.41666666666666663	0.20369445473764852
612.0	0.5167427701674276	0.5546022796911385	0.08333333333333326	0.09504834225709374
619.0	0.6874682902080163	0.6992278465498223	0.5	0.5023244740172674
608.0	0.415271435819381	0.4565510479225394	0.08333333333333326	0.07363847760825315
598.0	0.17503805175038045	0.1568819708297584	0.8333333333333333	0.40424903467646217
621.0	0.7318619989852868	0.7120970707194507	0.9166666666666665	0.8221388025154801
627.0	0.8942161339421615	0.912489275646525	0.25	0.32611197932050523
595.0	0.10527650938609834	0.11717122196347596	0.41666666666666663	0.19317211490438063
623.0	0.7927447995941148	0.8144380438779262	0.25	0.30275804167763115
626.0	0.8574327752409947	0.8260816276504475	1.0	0.9387849722799537
619.0	0.6927955352612885	0.7209216815786248	0.16666666666666663	0.20965019216964625
610.0	0.4660071029934043	0.5055766638068391	0.08333333333333326	0.08456896536292047
622.0	0.7661085743277525	0.7850226743473465	0.33333333333333326	0.3761315811614672
611.0	0.4883307965499748	0.5202843485721287	0.25	0.2256628375947199
605.0	0.36453576864535764	0.38301262409609005	0.08333333333333326	0.05721768426178031
599.0	0.2016742770167428	0.18874862115455326	0.75	0.4071096503711819
624.0	0.8130390664637241	0.8156636842750338	0.5833333333333333	0.622948295892922
